Company Name,Competitors,Founded,Headquarters,Industry,Job Description,Job Title,Location,Rating,Revenue,Salary Estimate,Sector,Size,Type of ownership
"NTT DATA Corporation
3.3","Capgemini, Accenture, Deloitte",1967,"Tokyo, Japan",IT Services,"At NTT DATA Services, we know that with the right people on board, anything is possible. The quality, integrity, and commitment of our employees are key factors in our company's growth, market presence and our ability to help our clients stay a step ahead of the competition. By hiring the best people and helping them grow both professionally and personally, we ensure a bright future for NTT DATA Services and for the people who work here.

NTT DATA Services currently seeks a VB .NET Technical Analyst to join our team in Denver, Colorado (US-CO), United States (US).

Job Duties

Serve as the technical lead for medium to large-sized global development teams
Design, develop and unit test applications using VB .NET, SQL Server technologies with Service-oriented architecture
Design component design and associated pseudo code with unit test cases
Support QA teams with test plans, root cause analysis and defect fixing
Create technical design documentation and root cause analysis documentation
Develop code adhering to coding standards and test driven development approach
Represent Development Team in Scrum/Agile sprints, attending stand-ups and estimating complexity for stories and tasks assigned

Communicate the status of the work, progress and obstacles to the team.

Basic Qualifications:

7+ years of IT experience

5+ years of experience analyzing, designing and implementing solutions using VB .NET and SQL Server
5+ years of object-oriented programming experience and MVC development paradigms

Preferred Qualifications:

Ability to work with business users is a must

Effective communicator, ability to clearly and concisely communicate the ideas

Conducting and leading meetings with different audience

Ability to analyze the data flow within and in/out of systems

Batch / backend processing (as opposed to frontend/UX/screen processing)

5+ years of experience developing applications integrated with databases such as SQL Server, Oracle
3+ years of experience writing NUnit tests

Wholesale banking or any prior lending background

Additional Skills

Strong knowledge of coding, testing, and debugging applications.
Strong knowledge of application configuration, maintenance and support.
Applies a broad knowledge of application programming and design to analyze and isolate issues.
Exceptional ability to effectively troubleshoot program errors.
General understanding of how technology decisions relate to business needs.

Minimum Education and Certifications

Bachelor or Master's degree in computer science or related field

#LI-NAM

#INDFSINS

This position is only available to those interested in direct staff employment opportunities with NTT DATA, Inc. or its subsidiaries. Please note, 1099 or corp-2-corp contractors or the equivalent will NOT be considered. We offer a full comprehensive benefits package that starts from your first day of employment.

About NTT DATA Services

NTT DATA Services partners with clients to navigate and simplify the modern complexities of business and technology, delivering the insights, solutions and outcomes that matter most. We deliver tangible business results by combining deep industry expertise with applied innovations in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services.

NTT DATA Services, headquartered in Plano, Texas, is a division of NTT DATA Corporation, a top 10 global business and IT services provider with 118,000+ professionals in more than 50 countries, and NTT Group, a partner to 88 percent of the Fortune 100. Visitnttdataservices.com to learn more.

NTT DATA, Inc. (the ""Company"") is an equal opportunity employer and makes employment decisions on the basis of merit and business needs. The Company will consider all qualified applicants for employment without regard to race, color, religious creed, citizenship, national origin, ancestry, age, sex, sexual orientation, gender identity, genetic information, physical or mental disability, veteran or marital status, or any other class protected by law. To comply with applicable laws ensuring equal employment opportunities to qualified individuals with a disability, the Company will make reasonable accommodations for the known physical or mental limitations of an otherwise qualified individual with a disability who is an applicant or an employee unless undue hardship to the Company would result.",VB .NET Technical Analyst,"Denver, CO",3.3,$10+ billion (USD),$14-$42 Per Hour(Glassdoor est.),Information Technology,10000+ employees,Company - Public
"QTS Data Centers
4.4",-1,2005,"Overland Park, KS",IT Services,"The Senior Billing Specialist is responsible for facilitating the timely preparation, processing and distribution of all invoices. One must be skilled in developing a cohesive mutual relationship with our customers and internal partners from the beginning of the billing process to the completion of payment.

The ideal candidate will have a detailed eye and passion for accurate and compliant billing practices. This person will demonstrate strong written and verbal communication skills, including the ability to interact effectively with all levels within the organization. One will demonstrate finesse to work with our customers to ensure partnership and collaborative fiduciary responsibility for QTS.

QTS is a growing, publically-held organization that operates at a fast pace, thus this role requires agility and the ability to manage change effectively.

ESSENTIAL DUTIES AND RESPONSIBILITIES, other duties may be assigned.
Review and approve the data input in the accounting system to ensure accuracy of contract detail
Manage inquiries from clients (both internal and external) and ensure they are addressed in a timely manner and appropriately resolved.
Ensures transactions are recorded, reviewed, presented and supported in accordance with company policies, generally accepted accounting principles and Sarbanes-Oxley (SOX) controls
Assists with helping Billing Manager as needed with researching, developing, writing, and updating billing policies, procedures, methods, and guidelines.
Executes billing procedures and closely monitors accuracy of billing data and timeliness to identify appropriate corrective actions, training and systems modifications.
Support of internal and external auditors
Assists Billing Manager with month-end close reconciliations, reports and analysis
Can perform all facets of the job and regularly takes above & beyond projects
Provide on the job training to new staff and assist new staff with understanding job responsibilities.


BASIC QUALIFICATIONS
Four+ years of recent billing experience or related experience
Proficient with Microsoft Office notably Excel
Strong Organizational skills
Excellent Communication Skills
Multitasking capability
Ability to work under pressure/deadline driven environment
PREFERRED QUALIFICATIONS
Associates or Bachelor's degree preferred
Six+ years of recent billing experience
Workday or other large Enterprise Resource Planning software experience
]]>",Senior Billing Specialist,"Overland Park, KS",4.4,$100 to $500 million (USD),$14-$42 Per Hour(Glassdoor est.),Information Technology,501 to 1000 employees,Company - Public
"Data Concepts Inc
5.0",-1,-1,"Ocklawaha, FL",IT Services,"Job Description
REMOTE POSITION

Data Concepts is seeking a Senior Associate for the Celebrity & Entertainment Program. The Associate will follow and implement the strategy for engaging and stewarding celebrity talent and entertainment properties in support of the of one of our clients.
Works across Marketing Departments to help identify areas where celebrity talent or branded entertainment can add a competitive advantage and help achieve fundraising, and awareness or other line of business goals.
Coordinates with national Communications, Development and other business units as well as regional offices as necessary to integrate messaging and maximize the impact of all opportunities.
Responsibilities

Key responsibilities include the following:
Support the celebrity and branded entertainment strategy for the American Red Cross within annual, organization-wide campaigns as well as in times of regionally and nationally scoped disaster preparedness, response and recovery efforts
Build and nurture relationships with celebrities and media properties (music, TV, film) to support the Red Cross
Develop processes for stewarding these relationships
Cultivate new prospects and introductions by leveraging industry contacts
Steward members of the National Celebrity Cabinet and other long time celebrity supporters and identify opportunities to keep them engaged and committed
Work with celebrities and media properties to develop PSAs
Contribute to our work with production teams, managers, publicists, etc.
Manage celebrity and entertainment partner support history
Vet potential celebrities and opportunities to ensure appropriate alignment
Provide guidance to Chapters, lines of business, and partnering functions on celebrity recruitment strategies, policies, procedures and best practices. Liaise with international partners on globally-scoped activities.
Collaborate with external agencies and/or contractors
Foster relationships with network and studio clearance teams while proactively and re-actively reviewing emblem/brand/mission integrations with scripted television shows and films, ensuring the emblem and brand services are properly licensed and portrayed accurately.
Qualifications:
Bachelor’s degree in marketing, communications, or other related field (or equivalent years of related experience) and a minimum of 5 years relevant professional experience.
Knowledge of the entertainment industry, key players and best practices for engaging celebrities, talent management and foundations, and other external parties.
Strong interpersonal and communication skills, and a comfort in dealing with all levels of talent and management.
A demonstrated ability to establish and maintain positive relationships with influential representatives of the media and entertainment industries, and other external partners, as well as staff internally.
Must be comfortable working in an environment with many changeable demands and priorities requiring scheduling flexibility and an even temperament.
Demonstrate creative thinking and strategic planning, but also act with flexibility and speed to take advantage of shorter term opportunities.
Ability to coordinate department efforts, provide overviews to communications and marketing staff, and work in a high-pressure environment marked by short deadlines.
Deep knowledge and facility with social media tools.
Ability to act discreetly and maintain confidentiality at all times.

Company Description
Data Concepts specializes in executing project solutions with expertise in Java, Microsoft, Open Source, Analytics, Cloud and Mobile technologies, AWS, and Azure. Our consulting engagements comprise firm-fixed price projects, time & material engagements, and a managed service IT staffing model.

Expertise: Java, Microsoft, Mobile, Open Source, Microservices, and Big Data
Services: Strategy, Development, UI/UX Design, Modernization, Cloud, PMO, Network Engineering, Security Engineering, and Enterprise System Administration.","(Remote) Senior Associate, Celebrity & Entertainment Engagement","Los Angeles, CA",5.0,Unknown / Non-Applicable,$14-$42 Per Hour(Glassdoor est.),Information Technology,1 to 50 employees,Contract
"Data Computer Corporation of America
3.9",-1,1983,"Ellicott City, MD",Computer Hardware & Software,"Sr. Software Engineer
Location


Columbia, MD

Job Code

1697

# of Openings

1

Apply Now

DCCA is a veteran-owned high-technology company specializing in providing information technology services to a variety of government agencies and commercial enterprises since 1982. DCCA is proud to offer a strong, competitive compensation and benefits package. Visit our website at: www.dcca.com.

Senior Software Engineer

Candidates MUST have the ability to obtain a Public Trust Clearance to be considered

Key Tasks (Major duties and responsibilities of the position )
Experience in technologies such as JSP, HTML5, CSS3, Bootstrap, XML, Javascript, AJAX, JQuery and Angular 5+
Create highly usable and compliant user interfaces
Create Wireframes, Mockups, and Prototypes
Collaborate with team to design new features and functionality
Monitor progress against deliverables, employing effective risk and issue management strategies
Develop and maintain effective working relationships with CMS stakeholders and other contractors
Required Skills:
7+ years as a developer (3+ years as a technical lead or senior developer) in the building of multi-tier, enterprise web-based solutions using technologies/frameworks such as J2EE, Spring MVC, JBoss, Fuse, MQ, RDBMS, AWS, SOA
7+ years in one more technical disciplines (e.g. architecture process re-engineering, development, verification)
3-7 years estimating, planning, and executing complex projects using Agile methodologies
Developing systems with Section 508 compliance
Exceptionally strong communication skills, verbal and written. Includes the ability to effectively communication complex information to audiences with varying technical and system background
Desired Skills:
Expertise in Secure Coding and Secure Development Life Cycle
Proven ability to learn new technology quickly
Proficient in MS Word and MS Excel
CMS experience
Supporting client stakeholders with varying levels of Agile experience
Collaborating in a multiple contractor environment
Required Education:
Computer Science degree or bachelor’s degree in a related major
DCCA is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status, or disability status.

Apply",Sr. Software Engineer,"Columbia, MD",3.9,Unknown / Non-Applicable,$14-$42 Per Hour(Glassdoor est.),Information Technology,51 to 200 employees,Company - Private
"Domino Data Lab
4.5",-1,2013,"San Francisco, CA",Enterprise Software & Network Solutions,"Domino Data Lab is in search of an experienced Enterprise Sales Executive to help evangelize Domino's platform in the NYC market.

The ideal fit is someone who has a history in selling a highly technical product, with a high average sales price (ours is rising each quarter!) to Fortune 500 companies. This role will report to the RVP of Sales.

Domino is helping the world run on models. Data Science teams at model-driven companies use our platform to accelerate breakthrough research, increase collaboration, and rapidly deliver high-impact models. Our customers are sophisticated analytical organizations including Allstate, Dell, and Bristol-Myers Squibb. Backed by Sequoia Capital, Zetta Venture Partners, Bloomberg Beta, and Coatue Management, we are at the epicenter of the data science revolution: helping companies build better cars, develop more effective medicine, or simply recommend the best song to play next.

Responsibilities
First and foremost, we need someone who can come in and sell software!
Lead the Domino relationship with prospects and internal stakeholders within enterprise accounts
Own deal cycles from prospect and demo to close, achieving revenue objectives for new logo acquisition and upsells/expansions
Identify new companies, use cases and prospects through primary and secondary research with help of our BDR team
Collaborate with engineering and marketing to refine product direction based on your findings from your interactions with prospects
Qualifications
5+ years sales experience including selling a complex technology product to enterprise accounts with a track record of success and exceeding sales quotas
Proven hunter who thrives in a collaborative selling model, by partnering with marketing, product and sales development teams to identify and prospect into key target accounts
Familiarity and comfort selling across stakeholders at multiple levels in an organization
Strong analytical skills and the ability to develop and run long-term account plans
Comfortable in a startup environment that moves at a fast pace. Comfortable in a direct, open, and honest culture; you care about getting the best answer, not about being right or wrong. You're motivated by results, not by your ego
What we offer
Competitive compensation, commission, and equity package
Medical/Dental/Vision benefits for both you and your dependents
401k retirement plan
Flexible time off and paid parental leave
Open office with access to company leaders and tools for remote employees to stay connected
Opportunity to work with passionate people in a mission-driven company defining a quickly growing field
Catered lunch 2x a week, snacks, and weekly Happy Hours in our San Francisco office
Pre-tax commuter benefits",Enterprise Account Executive,"Raleigh, NC",4.5,Unknown / Non-Applicable,$14-$42 Per Hour(Glassdoor est.),Information Technology,51 to 200 employees,Company - Private
"Global Data Systems
3.5","Presidio, Transformyx, RigNet",1987,"Lafayette, LA",IT Services,"Global Data Systems is looking to expand our level 2 and 3 engineering teams. Normally, we seek those with a highly diverse skill-set (""generalist""), and if that describes you, we want to hear from you! However, we also have specific needs right now - Proficiency inCitrix Virtual Apps and Desktops and/orcomplex networking.

Have you successfully taken the lead in building new VDI environments from start to finish? Have you built and/or managed a complex network with dynamic routing protocols, multiple sites, and multiple technologies? In either case, you are the person we are looking for. MSP experience is a plus

Here are some of the technologies we use. Experience with them is a plus

VMware vSphere/vCenter
Windows Server
HP/Cisco/Juniper Networking
FortinetNGFW and Access Points
Citrix XenApp/XenDesktop/Virtual Apps and Desktops
Office 365/Exchange Online, and On-Premise Exchange
Solarwinds N-Central
ConnectWise
ITGlue

The following certifications are another plus

MCSA/MCSE/MCITP
Fortinet NSE4or higher
Citrix CCA-V/CCP/CCE
VMware Certified Professional
Cisco CCNA/CCNP/CCIE
Juniper JNCIA/JNCIP/JNCIE

At Global Data Systems, we have learned that aptitudeisthe best gauge of success in our company.No one knows everything, but those with the ability to learn quicklywill thrive. There is no shortage of knowledge to soak up, and you will be exposed to a vast array of technologies and environments. GDS engineerslook beneath the surface. They learn to understand the how and the why, so they can build on a solid foundation and adapt to the things built on it. They document their work with attention to detail, allowing others to learn from their experiences, both the good and the bad!They are reliable, trustworthy, and a joy to work with. Are we describing you as well? You may be the next GDS engineer, please apply! Due to the COVID-19 pandemic, GDS is a completely remote workforce, and wed be happy to meet with you virtually.",Senior Systems Engineer,"Pembroke, MA",3.5,$25 to $50 million (USD),$14-$42 Per Hour(Glassdoor est.),Information Technology,51 to 200 employees,Company - Private
"NTT DATA Services
3.3","Capgemini, Accenture, Deloitte",1967,"Tokyo, Japan",IT Services,"Req ID: 85847

At NTT DATA Services, we know that with the right people on board, anything is possible. The quality, integrity, and commitment of our employees are key factors in our company’s growth, market presence and our ability to help our clients stay a step ahead of the competition. By hiring the best people and helping them grow both professionally and personally, we ensure a bright future for NTT DATA Services and for the people who work here.

NTT DATA Services currently seeks a Virtualization Subject Matter Expert to join our team in Radford, Virginia (US-VA), United States (US).

This contingent position is for a Virtualization Subject Matter Expert in a mixed and growing environment currently supporting functional teams and customers that utilize MS Windows server 2008 R2/2012R2/2016/2019, Microsoft SQL 2012/2014/2017, MS Windows 2010, VMWare 6.x. and OEL 6x-7x, and Oracle Operating systems. This position will work with the existing team members who are responsible for multiple Virtualized environments in different locations. This position will lead in the strategies to manage, maintain, deploy, troubleshoot and support servers in mixed customer environment. This position will lead all efforts to plan, execute and implement new system hardware and software and create and maintain team technical instructions, operating procedures and policies as needed. This position will need to be adept at monitoring and tuning system performance, ongoing operation of the servers, hardening of the servers and reporting of the overall security and operational status. The position will also recommend improvements to the enterprise and manage new software/hardware integrations when required while also providing utilization reports using existing tools to identify problems and corrective actions as needed. The position will need excellent communication and team skills. This position will provide support towards the lifecycle of a mixed environment of vendor equipment in the datacenter to include firmware version control and periodic preventive maintenance. This position will also need to be able to recommend, demonstrate, and implement technologies to help expand, upgrade, and increase efficiencies to the current environment.

Basic Qualifications:
A minimum of Ten years' experience designing, developing, documenting, implementing, and maintaining complex enterprise level VMWare environments with SME level understanding and experience with all components necessary to fully integrate the VMWare enclave.
A minimum of Ten years’ working in a datacenter environment with complex networking solutions with senior level fundamental knowledge in networking principles (TCP/IP, DNS, DHCP, SMTP, SNMP)
Five or more years’ experience in automating complex tasks utilizing powershell
Five or more years' experience creating, maintaining, following Standard Operating Procedures for repeatable processes, disaster recovery, and common problem resolution
Five of more years’ experience designing, documenting, implementing, and maintaining visualized storage such as Tintri or NetApp AFF
Five or more years’ experience and familiarity with Fiber Channel Networks, SANS, and Backup environments
Five or more years’ experience in monitoring the health of the virtual environment and developing proactive and automated solutions to prevent customer downtime
Five or more years’ experience supporting Cybersecurity patch management and Security Technical Implementation Guides (STIG), Security Requirement Guides
(SRG), Risk Management Framework (RMF), Security Control AssessorValidator (SCA-V), and Command Cyber Readiness Inspections (CCRI)
Education Required:
Bachelor's degree in Computer Science or equivalent
A secret clearance is required

Certifications Required:
CompTIA Security+
Computing Environment (CE) Certification (i.e., MCSE, Server+, CCNA, RedHat, Palo, etc.) – can be waived for 30 days after project join date.
This position is only available to those interested in direct staff employment opportunities with NTT DATA, Inc. or its subsidiaries. Please note, 1099 or corp-2-corp contractors or the equivalent will NOT be considered. We offer a full comprehensive benefits package that starts from your first day of employment.

About NTT DATA Services

NTT DATA Services partners with clients to navigate and simplify the modern complexities of business and technology, delivering the insights, solutions and outcomes that matter most. We deliver tangible business results by combining deep industry expertise with applied innovations in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services.

NTT DATA Services, headquartered in Plano, Texas, is a division of NTT DATA Corporation, a top 10 global business and IT services provider with 118,000+ professionals in more than 50 countries, and NTT Group, a partner to 88 percent of the Fortune 100. Visit nttdataservices.com to learn more.

NTT DATA, Inc. (the “Company”) is an equal opportunity employer and makes employment decisions on the basis of merit and business needs. The Company will consider all qualified applicants for employment without regard to race, color, religious creed, citizenship, national origin, ancestry, age, sex, sexual orientation, gender identity, genetic information, physical or mental disability, veteran or marital status, or any other class protected by law. To comply with applicable laws ensuring equal employment opportunities to qualified individuals with a disability, the Company will make reasonable accommodations for the known physical or mental limitations of an otherwise qualified individual with a disability who is an applicant or an employee unless undue hardship to the Company would result.",Virtualization Subject Matter Expert,"Radford, VA",3.3,$10+ billion (USD),$14-$42 Per Hour(Glassdoor est.),Information Technology,10000+ employees,Company - Public
"Integrated Data Services Inc.
4.6",-1,-1,"El Segundo, CA",Computer Hardware & Software,"Company Overview:
Integrated Data Services (IDS) is a leading provider of custom software products and Government financial management services. IDS was founded in 1997 in El Segundo, CA, and since that time has seen tremendous growth and success. Currently IDS has offices supporting customers nationwide. By providing customers with fast, efficient and reliable information systems and support services, IDS has become a preferred provider of financial and programmatic systems, services, and solutions across a wide variety of government agencies.
Position Description:
IDS is currently searching for a Business Analyst with experience in Department of Defense (DoD) financial management processes, government financial and accounting systems, acquisition and budgeting processes, and relational databases to provide support and training on-site to a government customer.
Responsibilities include, but are not limited to, the following:
Act as a member of a financial reconciliation team supporting a Department of Defense program office and will perform reconciliation between government contracts and funding documents.
Analyze financial data between various government accounting systems to determine errors.
Submit correction packages to the Defense Finance and Accounting Service for input.
Verify funding documents for validly prior to submission for budgetary adjustments.
Prepare reports on status of funds.
Submit financial reports summarizing all reconciliation efforts and unresolved discrepancies.
Otherwise support a government office.
Knowledge and Skills:
This position requires eight (8) years of combined industry and federal government experience (such as DoD/NASA/NRO employee or SETA/FFRDC supporting federal government acquisition), six (6) + must've been dedicated to PPBE.
Comprehensive Cost and Requirement System (CCaR) experience and/or certification is preferred.
Education and Work Experience:
This position requires a minimum of a Bachelor's degree from an accredited college or university in business management, engineering, computer science, mathematics, economics or other related discipline.
Professional Development Program Certification in a Business, Cost Estimating or Financial Management (e.g. CDFM, APDP, CCaR Certification) are a plus.
Physical & Mental Qualifications:
Must be able to lift/carry at least 15 lbs
Must be able to remain in a stationary position 80% of the time
Must consistently work and type on a computer and may be required to move about inside the office to access file cabinets, office supplies, etc.
Certificates and Licenses:
Applicants selected for employment will be subject to a Federal background investigation and must meet additional eligibility requirements for access to classified information or materials.
Travel:
Some travel may be required.
Hours:
Normal work schedule hours may vary, Monday through Friday. May be required to work additional hours and/or weekends, as needed, to meet deadlines or to fulfill travel obligations.
Salary Range:
Commensurate with experience.
IDS offers a robust benefits package including health, dental, vision and 401K plans. IDS is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regards to race, creed, age, sex, gender, physical or mental disability, sexual orientation, gender identity, gender expression, ancestry, pregnancy perceived pregnancy, medical condition, marital status, familial status, color, religion, uniformed services, veteran status, national origin, genetic information, or any other characteristic protected under local, state or Federal law. A submission of a resume is an expression of interest and not considered an application.
For more information, visit www.get-integrated.com.

**U.S. citizenship and/or green card is required; H1-B visas and other visas are not being sponsored. Relocation expenses are NOT compensated. All jobs are employer paid; no fees to candidates. Third parties or agencies inquiries are not being accepted.**
#IDS",SMC-LE Business Analyst,"El Segundo, CA",4.6,$10 to $25 million (USD),$14-$42 Per Hour(Glassdoor est.),Information Technology,51 to 200 employees,Company - Private
"NTT DATA Services
3.3","Capgemini, Accenture, Deloitte",1967,"Tokyo, Japan",IT Services,"Req ID: 93771

NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now.

We are currently seeking a Information System Security Officer to join our team in Sterling, Virginia (US-VA), United States (US).

In this position the ideal candidate will work on one or more of the following information technology related functions;

-Design and implement solutions for protecting the confidentiality, integrity and availability of sensitive information.
Recognized information security expert

-Provide technical support in the areas of vulnerability assessment, risk assessment, network security, product evaluation, and security implementation.
Participate in the design of information system business impact analysis, system categorization, contingency plans, privacy documents, and other system security documentation to maintain appropriate levels of protection and meet requirements for minimizing operational impact to the enterprise.
Conduct testing and audit log reviews to evaluate the effectiveness of current security measures.
Conduct security product evaluations, and recommends products, technologies and upgrades to improve the customer’s security posture.

Required Experience

-Minimum of three (3) years) with federal information systems security policy and implementation security control assessments, Plan of Action and Milestones (POA&M) management, system authorizations, configuration management, and system analysis.

Education:

-BS/BA in Computer Science, Information Systems,Engineering, Business, Physical Science, or other technology-related discipline.

Must be able to obtain a Public Trust

About NTT DATA Services

NTT DATA Services is a global business and IT services provider specializing in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services. We are part of the NTT family of companies, a partner to 85 % of the Fortune 100.

NTT DATA Services is an equal opportunity employer and will consider all qualified applicants for employment without regard to race, gender, disability, age, veteran-status, sexual orientation, gender identity, or any other class protected by law.",Information System Security Officer,"Sterling, VA",3.3,$10+ billion (USD),$14-$42 Per Hour(Glassdoor est.),Information Technology,10000+ employees,Company - Public
"NTT DATA Corporation
3.3","Capgemini, Accenture, Deloitte",1967,"Tokyo, Japan",IT Services,"Enterprise Cloud Architect:

Lead Enterprise Cloud Architect on our clients initiative to accelerate cloud adoption and operate mission critical data center through government contractor. Expertise in provides solutions to provide, operate and manage Hybrid private and public cloud services.

Responsibilities:
Create a well-informed cloud strategy, manage the adaption process and develop and organize cloud systems
Identify the top cloud architecture solutions to successfully meet the strategic needs of the company and assist in modernizing efforts by planning.
Work closely with IT security to monitor the company's cloud privacy.
Offer guidance in infrastructure movement techniques including bulk application transfers into the cloud.
Translate organizational level business requirements and use cases into architectural capabilities verified to meet the requirements
Design solution-independent architecture models that map business services to cloud application stacks
Continuously manage, monitor, and update architecture models as business needs evolve and additional cloud services become available
Assist product owners, solution architects, and application architects in designing scalable, highly available, secure, cost-effective solutions that leverage cloud services
Define and document cloud solution architecture(s) including technical designs and diagrams.
Assist product owners, solution architects, and application architects in designing scalable, highly available, secure, cost-effective solutions that leverage cloud services
Design solution-independent architecture models that map business services to cloud application stacks
Technical Knowledge:
Infrastructure & Application architecting on AWS Cloud, Microsoft Azure and or Google cloud technologies and services.
Understanding of Software as a Service (SaaS), Platform as a Service (PaaS) and/or Infrastructure (IaaS) and system design around these concepts
Knowledge on Federal Risk and Authorization Management Program (FedRAMP) Standards.
Positive attitude and a strong commitment to delivering quality work.
Excellent knowledge of cloud computing technologies and current computing trends.
Effective communication skills (written and verbal) to properly articulate complicated cloud reports to management and other IT development partners.
Minimum Requirements:
3-5+ years' experience designing, executing and supporting IT cloud solutions.
3+ years of cloud infrastructure and Implementation exp
3+ years' experience Software as a Service (SaaS), Platform as a Service (PaaS) and/or Infrastructure (IaaS) experience
Education
Bachelor's degree in Computer Science, Computer Engineering, Information Technology or relevant field.
INDPUBLIC

About NTT DATA Services

NTT DATA Services is a global business and IT services provider specializing in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services. We are part of the NTT family of companies, a partner to 85 % of the Fortune 100.

NTT DATA Services is an equal opportunity employer and will consider all qualified applicants for employment without regard to race, gender, disability, age, veteran-status, sexual orientation, gender identity, or any other class protected by law.",Enterprise Cloud Architect,"Chamblee, GA",3.3,$10+ billion (USD),$14-$42 Per Hour(Glassdoor est.),Information Technology,10000+ employees,Company - Public
"NTT DATA Corporation
3.3","Capgemini, Accenture, Deloitte",1967,"Tokyo, Japan",IT Services,"Salesforce Developer

Duties & Responsibilities:
Work with Business Analysts, Senior Consultants and Project Managers on project sand support engagements.
Works with Salesforce Lightning Web Component
Works with Salesforce and MuleSoft Integration
Works with Velocity tools and processes
Completes technical aspects on time, on budget, with deliverables of a high quality.
Balances multiple projects in a matrixed environment.
Basic Qualifications:
4 Year College Degree
6 months-plus of experience with Salesforce Integration
Nice to haves:
Salesforce Development Certification
Velocity Certification
Location:Can be remote

About NTT DATA Services

NTT DATA Services is a global business and IT services provider specializing in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services. We are part of the NTT family of companies, a partner to 85 % of the Fortune 100.

NTT DATA Services is an equal opportunity employer and will consider all qualified applicants for employment without regard to race, gender, disability, age, veteran-status, sexual orientation, gender identity, or any other class protected by law.

INDAPPS",Salesforce Developer,"Plano, TX",3.3,$10+ billion (USD),$14-$42 Per Hour(Glassdoor est.),Information Technology,10000+ employees,Company - Public
"Pacific Data Integrators
4.2",-1,2007,"Rocklin, CA",Computer Hardware & Software,"PDI provides services across all verticals and continues to grow as a leader across every sector of data management, from Big Data to Data Science. Our team’s talent is what sets us apart from our competitors and we continuously seek out the foremost talent of the technology community to give you the best result possible

Responsibilities:
Partnering with business teams to anticipate needs; assesses requirements and identify new solutions
Commitment to collaborate with developers and subject matter experts to establish the technical vision and analyze tradeoffs between usability and performance needs
Passion for being the liaison between business units, technology teams and support teams
Strong information seeking skills and a drive to deliver results
Extensive experience and knowledge implementing finance systems using project lifecycle processes, including design, testing, implementation and support
Ability to perform functional and performance tests on the system in order to verify the changes implemented by developers
Demonstrate the capability to communicate and document system changes to key stakeholders while translating system functionality into business relevant language
Experience, interest, and adaptability to working in a Lean, Scaled Agile delivery environment
Qualifications:
Bachelor's degree in Computer Science, MIS, Finance, Business or other relevant area
8+ years of professional experience in a business systems analyst or similar role
Knowledge and Experience of both Waterfall and Agile software development methodologies
Exceptional written, verbal, and interpersonal communication skills with management, technical peers, and business stakeholders
Demonstrated ability to provide application solutions by interpreting customer needs, assessing business requirements and identifying timely solutions with clear and concise functional specification requirements for assigned work.
Proven configuration experience within the SAP FI and CO modules - General Ledger Accounting (GL), Accounts Payable (AP), Accounts Receivable (AR)
Experience in Configuration of SAP Project Systems and SAP Fixed Assets Module
Solid understanding of SAP integration with external systems – such as IBM Tririga
Strong analytical skills and attention to detail
Tolerance for ambiguity
Ability to write, plan and execute functional & performance test plans
Ability to pass a 7 year background investigation
Ability to work flexible hours as required
Passion for the brand
Job Type: Contract

Experience:
BSA: 5 years (Preferred)
SAP integration: 5 years (Preferred)
SAP FI CO: 5 years (Preferred)
Work Remotely:
Temporarily due to COVID-19",SAP Business Systems Analyst,"Portland, OR",4.2,Unknown / Non-Applicable,$14-$42 Per Hour(Glassdoor est.),Information Technology,51 to 200 employees,Company - Private
"Access Data Consulting Corp
3.2",-1,1988,"Centennial, CO",Staffing & Outsourcing,"6 + years of experience in testing and creating test cases from test plans, specifications, and requirements 2. 3+ years of experience in validating firmware driver level testing for embedded systems 3. 3 + years of experience in creating and implementing automated tests using Python and BDD framework (Cucumber, Behave BDD framework is preferable) 4. 3+ years of relevant experience knowledge of Linux operating system 5. Test execution using both manual and automated techniques. 6. Reviewing, tracking, documenting, and summarizing test results. 7. Strong triaging skills using TCP Dump WireShark 8. Experience in using GIT, Subversion, Jenkins 9. Relevant experience knowledge in network protocols TCP, HTTP 10. Relevant experience knowledge in IPv4 IPv6 11. Experience in Testrail, Jira, ALM, HP QC 12. Experience in Java Groovy scripting is preferable",SDET Tester - Java/Python,"Greenwood Village, Arapahoe, CO",3.2,$10 to $25 million (USD),$14-$42 Per Hour(Glassdoor est.),Business Services,51 to 200 employees,Company - Private
